author,link,date,complete_text,share_count,comment_count,reaction_count
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid0kbXktXyj5vTJymKESnNFf9fhjK9B35eujyhaZfpkkoMpm5Gc2wWnFcCwE82dCcpcl&id=100095001407478&__tn__=%2CO,2023-08-13 22:09:00,"Reentering Sungai Chua, Batu 11, and Kg Baru Balakong with a different role and greater responsibility. Thank you for all the support. I am now eager to begin my work.
再次进入锡米山、蕉赖11里和无拉港新村，这次身份不同了，责任重大了。谢谢选民的支持，现在已经想开始工作了。
王俊伟：寻策解民困 首计划 访加影市会
https://kl.chinapress.com.my/?p=1485374
王俊伟：即起投入服务   一视同仁对待各族选民 https://www.sinchew.com.my/?p=4906733
#BalakongAdaOng
",16 comments,4 shares,"{'Like': 119, 'Love': 7}"
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02B3qqNaiopWx72ZpeDP4SvJKAqe2ic2fB7nWpkKvkWZFpnxEsMVz4kdECD1e7iN5hl&id=100095001407478&__cft__[0]=AZV1cglZZmpQnJtjxqRlJS7JrAE6U44u0DJY8T0NMHen5lc6NARcZDcivRXOYyMtGLWz5XEQoPVcJZr26NotFogIAbydx8eYnD7I2o5tJ1494by_pUy2hS2JzpEYc6yPzrz-MEW_3-9ILQZ8nhpiqHYdBZlMzcs_QQ0dclYDpT_MmvjW0zHm4C91vtCNePn9ucQ&__tn__=%2CO%2CP-R,2023-08-23 13:52:00,"(English below)
加影师爷宮庆祝四师爷千秋宝诞，我乘搭MRT去凑热闹。这座拥有126年的师爷宮不只是膜拜场所，庙本身就是非常有文化价值的宝，在新时代不断推陈出新之时，理事们不但坚守传承文化的使命，更不断地寻求突破，希望年轻一代接触到华人的传统文化。
师爷宮毗邻就有MRT，暂别说有潜力成为游客到此一览的胜地，因为方便之极，大家何不走一趟？
I visited Shen Sze Yar Temple to celebrate its anniversary by taking the MRT, thanks to its convenient location.
With a 126-year history, the temple is more than a place of worship; it also holds cultural value in Kajang. The committee aims to uphold cultural heritage and foster innovation, exposing the younger generation to traditional Chinese culture.
Its accessibility and potential as a tourist attraction make it a must-visit.
",2 shares,N/A,{'Like': 109}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02mjvtAXxY6pADPpYgRp3atUESfmGanRqLsJ51Yge5eSvk5HfJatb8xDjSWAJgvACRl&id=100095001407478&__cft__[0]=AZW3_BhnT7ew02DXdEh6vdFDT2opiKOPyxbxp6rEg5RqMHn0xbWQTz5TWQ-HkE2YSFv1hMda-lcrjQa2fWL77hRWLScanCfE-qoXndfuOfOmQ09x1hs5d_hu-Qm4jGCE8zjmYaeJkAJwRr_3u6pVXv79Sd7zVro-civ_9iuCXtF1eI2gLxsAw3AIGF1bpNUr7cY&__tn__=%2CO%2CP-R,2023-08-22 13:52:19,"Around the flower arrangement program organized by KKI DUN Balakong. A good initiative to utilize mothers' free time with various skills.
#BalakongAdaOng
",5 shares,N/A,{'Like': 43}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid0Yz995eeGvEf7TeypaQDhDi9XoeqqtQejLtYfcCFtEukduQTZGNhepdveB2sXExbol&id=100095001407478&__cft__[0]=AZU1coOgdJ4D4Uontcsnjdrf0zmO6aApIhnGg-4S8Yf9mjYANh6zv-Kn6KvVRyewWoHK5Ec3sqgUpCgIf558iQqZT0tG4TkyUga4XFLrY-R1YbWIFAuBbzv21YyEYBbIO6dUeG2sAgt_LFlQNtKfKr2-LKuKXpF5Z8acOGxQw7tQ5D-48Y2UxlzEjQTpbXs-eVQ&__tn__=%2CO%2CP-R,2023-08-21 13:52:38,"Susulan berlakunya air bertakung di Jalan Pekan Batu 11 akibat hujan lebat pada minggu yang lalu, satu lawatan tapak bersama pihak MPKJ, wakil KDEB serta wakil pemaju telah diadakan untuk mendalami cara-cara penyelesaian bagi mengelakkan banjir pada musim hujan ini.
Pembersihan longkang akan dilaksanakan. Kajian semula terhadap reka bentuk sistem perparitan sedia ada turut akan dijalankan.
蕉赖11里大街上周下午因为一场豪雨导致街道积水，我接获消息后日前召集加影市议会工程组、达鲁益山垃圾管理公司及发展商代表到现场去勘察。
经商讨，短期方案是进行清沟，把沟里的油和垃圾抽出，加强排水。
至于长期方案，由于蕉赖11里属于老区，加上气候的变化，老旧的排水系统已不胜负荷，市议会工程组及发展商将探讨提升当地排水结构和系统的可能性。
相关新闻：
https://www.orientaldaily.com.my/.../2023/08/19/590171
＃BalakongAdaOng
",1 comment,1 share,{'Like': 46}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02QknNooSKRMfvrr1rFxY8jA9QpeTRs46p9DZDC2zxJDVDUr7ELkRTnPw6WJrjwQcel&id=100095001407478&__cft__[0]=AZW6alQnWufqeNsoGrmTE0Fa55CKwYYm98F6Ltc2Ji-1WJL1qdl6XjHQDkU1h1Ra9WKMy_xqHqktl5DiRoQzc-TO8HJAwzO-PzukvIQiU6LL8uaK4DMoH97FwYW7DMoZZRfZlwL95AZbhlL1BSse2HpMqw2Tm-Flt_Ir4THPJ19pVNySuVJXotBv-PsbXdFl2IY&__tn__=%2CO%2CP-R,2023-08-21 13:53:00,"Hari ini saya kembali ke Kinrara untuk menyertai majlis penghargaan bagi meraikan para sukarelawan jentera Pilihan Raya Negeri Selangor DUN Kinrara. ＃Kinrara, titik permulaan penting bagi saya. 10 tahun yang lalu, saya mula menceburi bidang perkhidmatan awam di pejabat YB Ng Sze Han. Banyak perkara yang telah saya belajar. Kini, saya akan memanfaatkan pengalaman saya untuk teruskan perkhidmatan kepada rakyat dan kerajaan Negeri Selangor.
今天，我回家了！
是的，今天是金銮州议席州选慰劳宴，我的boss兼师父 ＃黄思汉 宴请所有在竞选期间帮忙的义工和监票及计票员慰劳大家，所以我也趁机会回到我熟悉的地方，见我熟悉的家人和朋友！
我的政治旅程始于金銮，跟随师父的脚步，一步一脚印走到今天，本想好好借此机会感谢师父，上演一幕谢师宴，可惜啊～他在王宫彩排，尽管有少许失落，但这也是好事，有彩排证明师父再受委为行政议员，准备明天宣誓就职。
今天我特意穿上 ＃sayangikinrara T恤回到金銮，以后我将专注在无拉港选区服务，肯定比较少在金銮，但是那段在金銮的日子，我不会忘记，金銮永远在我心！
",8 comments,3 shares,{'Like': 163}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid0ZBHE8KdHcWiqbjcA9uue6AMsJUzn2Vy5zgL7eB31Vf6ZTied9QLx1QqCC1uCyZybl&id=100095001407478&__cft__[0]=AZXiOYClnZup4BEcppevD7giOkkEo4IdFIiXnrsMJjcMKWvLM50M-leeFG0A4-0yGXzxEF7U56aGKW8H7-9ns2NGo10FAYlfybbTfFddIvWpKrE0vHbgUnsuxpN01WrTQDXtuXjLbmaGsJehqPhJYUS0kdQGmw4SbhCUHq3QzLIQrQOhEpDBhky-XP6t1gY7hDM&__tn__=%2CO%2CP-R,2023-08-21 13:53:24,"＃加影师爷宮 拥有126年历史，百年来庇佑信徒出入平安。今年庆祝仙四爷千秋宝诞，与加影社区文物馆举办市集和平安晚宴，今早我带了家人参加庙会市集，深入了解四爷宮的建庙历史和拜拜。必须点赞的是，社区必须通过这样的配合才会活跃起来，传统文化才得以流传！
＃BalakongAdaOng
",3 comments,2 shares,{'Like': 112}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02MHHn6eK2jyeBQJGbh8ehSEWVi6rLN6D27qqSHEwmzuF1ZyrrD6eRvdsnNV5u1y32l&id=100095001407478&__cft__[0]=AZVIlzgLEbJSFsQ63X9UyZKbbTdttnkWdzJs7A8OGKbg_45MuqR2y7NWBC0P26xJP8MqzANfxxAorj-6Jsdl3E1Mr3u2qoitJBToqoKcUWcx1EUX1NTK9EIFxVIp7syW5bN8ZInJpMW9sXX-kQN_ZwsxX3o9FvlqlLoTSOK7BPpWj1CFQQnoEKURniYqf5j_5-0&__tn__=%2CO%2CP-R,2023-08-20 13:53:46,"Sekitar Malam Muhibah dan Sambutan Bulan Kemerdekaan anjuran Taman Sutera Fasa 3. Saya teruja dengan suasana serta keharmonian majlis ini. Semua penduduk duduk semeja tanpa mengira kaum dan berganding bahu menjayakan majlis ini. Inilah keunikan dan keindahan Malaysia. Inilah wajah sebenar Malaysia. Salam Malaysia Madani dan Selamat menyambut Hari Kemerdekaan.
辉煌条纹飘扬了！国庆日要到了，Taman Sutera Fasa 3 挂起了国旗，居民们提前欢庆国庆！8月是国庆月，这是马来西亚人共同庆祝季节，让我感动的是，居民不分你我聚在一起成就这个活动，体现了真正的多元大马！
＃BalakongAdaOng
",1 comment,N/A,{'Like': 60}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02DV3wLdbQCYF8amwPcWRXS1r8SWacCuqgxM79RgieRQEC6q7kBnwz5UCWsRoz7em3l&id=100095001407478&__cft__[0]=AZU-SpejHt7H1Fb0Il_7Q3zQi5EKMsOKHND6aU72xzoNPZcw3vuFwgJ6ekTDgsFNNQLP4GGffqxrxg_bvG2EELDiA92DDsbUdDANKj9ZpYu4Sk6huEVgyu3fX_0lCkLnZqHvm3Fq7YSBIyt4VlpJGx4VUNJPgmi5hfoA3vHoGECZDdgDqJBnOUPNleXO-7GCSBE&__tn__=%2CO%2CP-R,2023-08-19 13:54:07,"Kunjungan hormat ke Pejabat YDP Majlis Perbandaran Kajang YBHG TUAN HAJI NAJMUDDIN BIN JEMAIN sambil membincangkan isu-isu semasa kawasan Dun Balakong.
今午拜访加影市议会主席 Najmuddin，除了嘘寒问暖外，少不了提出一些无拉港的民生问题。接下来我们将加强跟市议会的沟通与配合，尽可能解决民生问题，改善无拉港。
#BalakongAdaOng
",1 comment,1 share,{'Like': 68}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02fKJcboAQfXpbkUxUyTx8hVVShtqp1D41ooQH6Vt5NSUMqK4z7ZNnVPK4ehiB26kPl&id=100095001407478&__cft__[0]=AZVMsUo1JAEkLUy_0vlEkV6xoK4QBiEnK7362z3pyN9Pvbbij71XBnw8i3cLOUaMg4gYUbzM59FzBAXFGJsO4mnnAHNRYxqjHxjy6z0j7gAA3oUJPM8pH66sy0v8HR9td3ujLOsyAoNk4rCvscDwJeuI-rQWL9iY4CCkdFc4tsOIXhzFUK9Q4p02V_wiVKsaZ8M&__tn__=%2CO%2CP-R,2023-08-18 13:54:30,"（中文往下）
The drain clearing operation continues! The drainage channels in the commercial area of Damai Perdana have accumulated garbage and grease over the long term, causing water blockages and even emitting foul odors. Today, KDEB has been arranged to carry out extraction and clearing work. We hope that the local businesses and residents will collaborate to maintain the cleanliness of the area.
清沟行动展开了！首都镇商业区的沟渠因长期积累了垃圾和油脂，导致排水受阻甚至发出臭味，今天安排KDEB进行抽取和疏通工作，希望当地商民合作，一起保持当地卫生。
相关新闻
https://metro.sinchew.com.my/?p=4915883
#BalakongAdaOng
",5 comments,2 shares,{'Like': 75}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid0pgJFNgc1wzef5dTm2s2hUT5EqwScECxP3SSqM3KV3dXtRXN1ASGHn2v9zG5d5XQQl&id=100095001407478&__cft__[0]=AZUKTvLdg2caUMYu2KKW0p42YbnKaNomjPeNp_PhgdP0gz67aafYXOSULHXl5uJ3lqkY0ZD8-ISHpLY9v8i1DrFggVoXhrgFRlGpI7jB_oO8uUCWGUkPvT1uQt5G6fR9NflaIup0vLLqOVSRCfeGY6y7uN3q-i41Igb7Mji2FVibTHeuNhqUciRotYEoURnmRyw&__tn__=%2CO%2CP-R,2023-08-17 13:54:51,"(中文在下面)
Mengunjungi Pasar Pagi Damai Perdana bersama Ahli Majlis Zon 5 Encik Dickson Tan untuk berjumpa dengan para penduduk sambil mendalami isu-isu setempat.
在第五区市议员Dickson 的陪同下拜访达迈柏兰岭巴刹，礼貌打招呼外，少不了了解民意。
#BalakongAdaOng
",1 comment,1 share,{'Like': 90}
