author,link,date,complete_text,share_count,comment_count,reaction_count
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02m9y3rSo2jj5hZdiCDLS6reXWWqgbkDRYn9c5Y1yZbKaUr48D4CN5bwfBv5C9j17Gl&id=100080969501613&__tn__=%2CO,2023-08-11 19:09:00,,N/A,N/A,{'Like': 2000}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0Ytnuw8VvTpCGzarNVL7Qn6sizdjSB3B8ZKVf2k5PzqCiZuMmDwtjFbZ65tWCoJC5l&id=100080969501613&__tn__=%2CO,2023-07-09 00:00:00,"Jom sertai PACA dan sukarelawan DUN BANDAR BARU KLANG！Ayuh kita pertahankan Selangor.
Borang pendaftaran:
https://forms.gle/Rf9V8cZ5rYtqtVk38
欢迎加入巴生新城的PACA和自愿者团队！让我们一起守护雪州。
报名表格：
https://forms.gle/Rf9V8cZ5rYtqtVk38
",189 comments,91 shares,"{'Like': 458, 'Haha': 136}"
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0Squ9YitwmpoMaFTQGSuCURpXZZ1RJxcouaKkL4sPPM9kmHGj8gTKTfXovcxtFTZgl&id=100080969501613&__cft__[0]=AZWN17LFRZIQlYwqudwnPp_Uy5JagdkeHOKg50WV_l1Tul88dtD0rU3JMz0SCjHNEuoirc7_ycBxkB6s0_f4PmctrW6wubaSw6oVPSqInFJL7zut1mrR4BSfXtQJpMk73zt2W_0Psfw4K6exXKwgohKdXZMD-3Msf61Nw7I9WvYNfnJ-g-XcW9ibLlx2GQRuGeBtHuByEXxuhiT9Pcu4THmN&__tn__=%2CO%2CP-R,2023-08-26 06:02:39,"Pada hari ini,kami telah melakukan satu kunjungan hormat ke KPJ KLANG  . Kami sedang mencari peluang kerjasama untuk pelbagai program bagi masa depan. Ucapan ribuan terima kasih atas layanan mesra dari pihak KPJ Klang.  Tidak dilupakan juga buat rakan seperjuangan saya semasa zaman universiti, Dr.Imran … awak sentiasa ceria seperti dulu
Paid a courtesy visit to KPJ KLANG today. We are exploring future collaborations for various programs. Thank you for your hospitality. Also not forgetting my university mate Dr.Imran … you are always so cheerful.
",3 comments,49 shares,{'Like': 104}
Quah Perng Fei,https://www.facebook.com/quah.perngfei/posts/pfbid02GTc3undiPCSNPK5qQEjZE1AnSRLyQ9ncMDL32Y64ZKokgkKWaY8hCUzmbt2pu4e5l?__cft__[0]=AZWN17LFRZIQlYwqudwnPp_Uy5JagdkeHOKg50WV_l1Tul88dtD0rU3JMz0SCjHNEuoirc7_ycBxkB6s0_f4PmctrW6wubaSw6oVPSqInFJL7zut1mrR4BSfXtQJpMk73zt2W_0Psfw4K6exXKwgohKdXZMD-3Msf61Nw7I9WvYNfnJ-g-XcW9ibLlx2GQRuGeBtHuByEXxuhiT9Pcu4THmN&__tn__=%2CO%2CP-y-R,2023-08-26 06:03:01,"Pada hari ini,kami telah melakukan satu kunjungan hormat ke KPJ KLANG  . Kami sedang mencari peluang kerjasama untuk pelbagai program bagi masa depan. Ucapan ribuan terima kasih atas layanan mesra dari pihak KPJ Klang.  Tidak dilupakan juga buat rakan seperjuangan saya semasa zaman universiti, Dr.Imran … awak sentiasa ceria seperti dulu
Paid a courtesy visit to KPJ KLANG today. We are exploring future collaborations for various programs. Thank you for your hospitality. Also not forgetting my university mate Dr.Imran … you are always so cheerful.
",7 comments,58 shares,{'Like': 243}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0PqP7prq6Ew7MadxYgkN2s4ptKGMsgWbDAWqg8ASZVMZrsP8En9pF3AS7HDX9bTrAl&id=100080969501613&__cft__[0]=AZVOMvDC5Hg3NMitbikI3yFqXvmlagbSbA1-iOOhCGDPIzMX9mCJCEDIwDxaDc3WJHVT_pfqyh7AulNNpcgAhjVIlbHUPc7jhyBB9r32zpAhO8lx8lZBe0si7IxZBPaJGmp_paVOP90XLxtvI0iV9NtuZ5MMF9NiUz1JZlrgGRh7ML5RCEZW8C-WzRce8MUMdOU&__tn__=%2CO%2CP-R,2023-08-25 06:03:25,"Jualan Ehsan Rakyat 
24/8/23
Thank you Team BBK for making this a successful event. Next stop will be Kampung Batu Belah follow by Teluk Pulai. We will cover as many area in BBK. Pls be patient.
Terima kasih Team BBK kerana menjayakan program ini. Kami akan masuk Kampung Batu Belah diikuti Teluk Pulai. Kami akan masuk  seberapa banyak kawasan di DUN BBK. Harap bersabar.
",6 comments,8 shares,{'Like': 214}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid034MVWPcYUTutQ4HUdBXHDTnWbXv3tHm6W6JxK6T1pHjJFb4mse4LP4RudgB1Wbe19l&id=100080969501613&__cft__[0]=AZWgrmv_wCR1B2Yxo65icqAaecYHg2KJFLVMOMcLTInepqunBRL19Vv-wM_RwzOTjB_rQGHFhulcaDV9haZ4Ww0gT-QdK7hfnrDav02XnSSOCAnm4ixo8rt_0NGkgvNSK4sg5HuujWlPAQjQ5JZcmWjyvpyRnVn52QMQ1G7AHh_uQIqSMBsFYZKvxS1gVFaa4Ic&__tn__=%2CO%2CP-R,2023-08-25 06:03:49,,N/A,N/A,{'Like': 7800}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid029CAT6vkXeKW4A4cz8eYJuzRkHU4R6UDKn6qJNjcqkMC7Vok9HbqywbfcxXBeW1qtl&id=100080969501613&__cft__[0]=AZVU8VwBH8Fo0N2uUsfYihyuNYRkSB08Ezp-fvTs6E7TvUw954b95IrUp6HLYasB6KuaNh9eHlLyjHH-c_KenmVKP8UIPG4NL4g_TvdK6Wa1rqCt_gNATNGb2GEtX6m31qBTSxps30wy3jjuBRKebjy4dBBCt7QezUHFaR29WEq-Asr1JL21iy3-87Oj3wI5TnE&__tn__=%2CO%2CP-R,2023-08-23 06:04:15,"Happy Birthday Don. Thank you for your assistance & support. We learn & grow together. Friendship forever… we continue to grow together.
",56 comments,6 shares,{'Like': 316}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid024HTChLWyYbySPScxwATGeWJooiH5CSi7t4LhJMWY8iFdZNoz8QvWmrg1BYH94id6l&id=100080969501613&__cft__[0]=AZVteI09jDLH9c7Vy2q7bPZ8xYQ7HXORe9xTxRjMdGcdazpbZ2jLCu5EYwoPm_3BCDswAP275qLJYv5QZROObs5N0yO9o0_TbOtkqwHIKp2ilF2MSVrlR92qDAySv_1h2RRvTtMXc3WrUEN7zfMxOHXaGY2Kp_sLa1Jispwa6nfr8zl1bphq_MANR6xK0FaA7Z8&__tn__=%2CO%2CP-R,2023-08-23 06:04:44,"Kami jumpa 24-8-2023(Khamis) 10 pagi di Taman Sri Pekan.
我们将于24-8-2023(星期四) 早上 10 点在Taman Sri Pekan见面。
",6 comments,72 shares,{'Like': 148}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=308820421826939&id=100080969501613&substory_index=969767117472886&__cft__[0]=AZWVtFuTuGgRnqkW8Jb0QqF4WdA8mqPX4hg3Wkyitnvv0cAdQ_MqFbo3HDbt2QEHcbzDk8O5f-hj5a5AiYICW1qsVkZXOoHXBotjwkRLN5EyvxKzFUdQQX04Mjbd2zF6dP5TIq025vfca2GLsHn-N8RVpgEOwLJUG0oKmqzgfNh0UvTC5qO2SmzD1DfcuJsdp88&__tn__=%2CO%2CP-R,2023-08-23 06:05:08,,13 comments,9 shares,{'Like': 469}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid025MGMN3hR17KtpfranmtkL5H7YgZvbJUG82voS5CSjMFkqAimnSF8xQPq7niJWXQsl&id=100080969501613&__cft__[0]=AZVrK7U-h4H1OQjC-ZNCxfAJz4qhw9wMMPNuSMTDqoVFGHDeSqiOB7KufqrtmcmMTwfFB8NyF-B7vKLNvxuZYw36OMfvdrTf1-AOy8MbUzOaoIKqeQiWaiS-fcRqr0LfT9De7ab5DUYaMqkzRdpOGAXxzde55ZLoC4ObhnKqStQFFMgBYeaJ6WoHmxOWX_hN5dM&__tn__=%2CO%2CP-R,2023-08-23 06:05:33,,N/A,N/A,"{'Like': 16000, 'Wow': 5900}"
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid036VfW5HKKrp83fWREVUPJcn5jvuN4eYDsPuCnTKrPqqhtdGzqUqSwE1insjbkTkWzl&id=100080969501613&__cft__[0]=AZVJzcPoMnTgiD34o1fuDY7G1tsjgdidlgbImwdz90v47jYf3NHkeaFeXUXx1MqlZmvsczm3qjUKxgV1F7XxEBzwJH7eNtgiFyF2m6lr0ke-2erl2cZm3vP5WWjSGxfSrkQfQ6I1frfigynHYMzDXkj4iH-k3Vf717MID89sOvrxLLSWO-fVphSBOyIEz_HCrzo&__tn__=%2CO%2CP-R,2023-08-21 06:05:56,"Kami jumpa 22-8-2023(Selasa) 10 pagi di Klang Utama.
我们将于22-8-2023(星期二) 早上 10 点在 Klang Utama 见面。
",6 comments,86 shares,{'Like': 90}
